Booking_ID,Hotel_Type,Country,Booking_Channel,Customer_Type,Room_Type,Length_of_Stay,Rooms_Booked,Room_Rate,Extra_Charges,Booking_Status,Checkin_Date,Checkout_Date,Revenue
BKG1,City Hotel,Germany,Online,Family,Suite,14,1,351,110,Completed,2023-01-01 00:00:00,2023-01-15 00:00:00,5024
BKG2,Resort Hotel,Australia,Direct,Family,Deluxe,2,1,485,79,Cancelled,2023-01-01 01:00:00,2023-01-03 01:00:00,1049
BKG3,City Hotel,Brazil,Online,Business,Executive,9,2,65,102,Completed,2023-01-01 02:00:00,2023-01-10 02:00:00,1272
BKG4,City Hotel,Germany,Online,Couple,Suite,13,1,157,190,Completed,2023-01-01 03:00:00,2023-01-14 03:00:00,2231
BKG5,City Hotel,China,Travel Agent,Family,Deluxe,9,1,444,123,Completed,2023-01-01 04:00:00,2023-01-10 04:00:00,4119
BKG6,Resort Hotel,France,Online,Business,Standard,11,3,323,181,Cancelled,2023-01-01 05:00:00,2023-01-12 05:00:00,10840
BKG7,City Hotel,India,Travel Agent,Business,Suite,3,1,413,165,Completed,2023-01-01 06:00:00,2023-01-04 06:00:00,1404
BKG8,City Hotel,India,Travel Agent,Family,Executive,6,1,233,123,Completed,2023-01-01 07:00:00,2023-01-07 07:00:00,1521
BKG9,City Hotel,Brazil,Direct,Group,Standard,12,1,233,16,Completed,2023-01-01 08:00:00,2023-01-13 08:00:00,2812
BKG10,Resort Hotel,India,Corporate,Couple,Deluxe,7,1,490,30,Completed,2023-01-01 09:00:00,2023-01-08 09:00:00,3460
BKG11,City Hotel,Germany,Direct,Group,Suite,3,2,118,128,No Show,2023-01-01 10:00:00,2023-01-04 10:00:00,836
BKG12,City Hotel,UAE,Online,Group,Standard,5,3,299,133,Completed,2023-01-01 11:00:00,2023-01-06 11:00:00,4618
BKG13,City Hotel,India,Corporate,Couple,Standard,1,3,425,69,Completed,2023-01-01 12:00:00,2023-01-02 12:00:00,1344
BKG14,City Hotel,Brazil,Online,Couple,Executive,11,3,499,35,Completed,2023-01-01 13:00:00,2023-01-12 13:00:00,16502
BKG15,Resort Hotel,India,Travel Agent,Family,Standard,3,1,267,135,Cancelled,2023-01-01 14:00:00,2023-01-04 14:00:00,936
BKG16,City Hotel,India,Corporate,Family,Executive,12,2,137,92,Cancelled,2023-01-01 15:00:00,2023-01-13 15:00:00,3380
BKG17,Resort Hotel,Canada,Online,Family,Deluxe,8,3,395,72,Completed,2023-01-01 16:00:00,2023-01-09 16:00:00,9552
BKG18,Resort Hotel,Germany,Travel Agent,Couple,Executive,3,2,321,137,Completed,2023-01-01 17:00:00,2023-01-04 17:00:00,2063
BKG19,Resort Hotel,China,Online,Group,Suite,8,3,266,23,Completed,2023-01-01 18:00:00,2023-01-09 18:00:00,6407
